alpha,flap,cjet,CJtot,CXtot,CYtot,CZtot,CLtot,CDtot,CLcir,CLjet,CDind,CDjet,CDvis
0,0,0,nan,nan,-0.00493,nan,nan,nan,nan,0.0,nan,0.0,0.0
0,10,0,nan,nan,-0.12207,nan,nan,nan,nan,0.0,nan,0.0,0.0
0,20,0,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0
1,0,0,nan,nan,0.0027,nan,nan,nan,nan,0.0,nan,0.0,0.0
1,10,0,nan,nan,0.16276,nan,nan,nan,nan,0.0,nan,0.0,0.0
1,20,0,nan,nan,-0.00509,nan,nan,nan,nan,0.0,nan,0.0,0.0
2,0,0,nan,nan,-0.00079,nan,nan,nan,nan,0.0,nan,0.0,0.0
2,10,0,nan,nan,-0.26449,nan,nan,nan,nan,0.0,nan,0.0,0.0
2,20,0,nan,nan,-0.00509,nan,nan,nan,nan,0.0,nan,0.0,0.0
3,0,0,nan,nan,-0.11953,nan,nan,nan,nan,0.0,nan,0.0,0.0
3,10,0,nan,nan,8.46354,nan,nan,nan,nan,0.0,nan,0.0,0.0
3,20,0,nan,nan,0.16276,nan,nan,nan,nan,0.0,nan,0.0,0.0
4,0,0,nan,nan,-0.10935,nan,nan,nan,nan,0.0,nan,0.0,0.0
4,10,0,nan,nan,-1.95312,nan,nan,nan,nan,0.0,nan,0.0,0.0
4,20,0,nan,nan,0.0,nan,nan,nan,nan,0.0,nan,0.0,0.0
