VTAS,Drag,Lift,L/D Ratio,Propeller Efficiency,J Value,Sink Rate,CL,CD,dSink/dVTAS
10,331.7260346,1374.727433,4.144165033,0.309879308,0.2315887,5.000000045,4.850865017,1.170528919,-0.0348995
13.52057368,453.025564,2187.45763,4.828552303,0.405799407,0.313121208,5.32110197,4.222328334,0.87445016,0.5
17.04114737,481.1668151,2869.178159,5.96295935,0.494005468,0.394653716,4.749221937,3.486281429,0.584656246,0.39355593
20.56172105,518.5531479,3618.217261,6.977524437,0.571913914,0.476186224,4.187114176,3.019800868,0.432789723,0.27869144
24.08229474,568.3923088,4455.752479,7.839220219,0.635440756,0.557718733,3.690648531,2.710989986,0.345823935,0.20363637
27.60286842,631.3688344,5396.163104,8.546768244,0.686646804,0.639251241,3.269156601,2.499074645,0.292399954,0.15325153
31.12344211,712.7106445,6472.720539,9.081835088,0.735906131,0.720783749,2.96132012,2.357839307,0.259621462,0.11843539
34.64401579,814.0166457,7704.319309,9.464572192,0.775513614,0.802316257,2.765316901,2.265063641,0.239320235,0.09514758
38.16458947,930.730644,9077.426395,9.753011199,0.807575675,0.883848766,2.629968267,2.199095735,0.225478643,0.07982091
41.68516316,1059.878436,10580.97591,9.983197651,0.838825728,0.965381274,2.524562698,2.148648156,0.215226447,0.06891122
45.20573684,1202.220757,12220.45506,10.16490107,0.861451242,1.046913782,2.449257587,2.110099156,0.207586787,0.06056262
48.72631053,1226.883805,13223.25868,10.7779226,0.870424198,1.12844629,2.519492169,1.965232906,0.182338747,0.05418024
52.24688421,1089.246591,13272.7846,12.18528909,0.870448554,1.209978798,2.808328749,1.715709851,0.140801736,0.05170702
55.76745789,985.5327424,13305.44307,13.50076207,0.809151,1.291511307,3.303649669,1.509629019,0.11181806,0.05375112
59.28803158,907.4029002,13304.60361,14.66228905,6.568365938,1.373043815,2.33955845,1.335581723,0.091089578,0.05923974
62.80860526,854.6163009,13310.51328,15.57484132,-239.8782073,1.401848053,1.726939641,1.190581403,0.076442602,0.03946089
66.32917895,822.1404796,13319.15908,16.20058786,-239.8781727,1.401848053,1.379574219,1.068243241,0.065938548,0.02749527
69.84975263,806.3617081,13327.37628,16.52778914,-239.8781433,1.401848053,1.057170597,0.963867874,0.058318016,0.0207989
73.37032632,804.7895565,13335.41936,16.57007009,-239.8781181,1.401848053,0.756805936,0.874114585,0.052752618,0.01513492
76.8909,815.4479016,13343.43977,16.3633259,-239.8783535,1.401848052,0.475883852,0.796380287,0.048668608,0.01031488
